epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,2825.11,0.79216,0.70902,1.0706,0.82144,0.70964,0.80925,0.60472,1.09,1.14617,1.34206,0.000656,0.000656,0.000656
50,2881.8,0.78638,0.69912,1.07425,0.84625,0.75782,0.79398,0.58055,1.06117,1.15928,1.27036,0.000643625,0.000643625,0.000643625
51,2939.04,0.79381,0.726,1.08327,0.83009,0.69092,0.7603,0.57747,1.09128,1.46222,1.29996,0.00063125,0.00063125,0.00063125
52,2994.47,0.7906,0.66634,1.07918,0.79148,0.72048,0.77603,0.57283,1.12602,1.27533,1.3576,0.000618875,0.000618875,0.000618875
53,3051.35,0.79832,0.71099,1.05917,0.83935,0.66641,0.82233,0.59173,1.18545,1.19065,1.38449,0.0006065,0.0006065,0.0006065
54,3108.22,0.74386,0.6704,1.05892,0.8552,0.74768,0.83357,0.60001,1.17475,0.99189,1.38093,0.000594125,0.000594125,0.000594125
55,3164.94,0.75508,0.65738,1.05613,0.87522,0.79419,0.84245,0.5722,1.1589,1.1382,1.34538,0.00058175,0.00058175,0.00058175
56,3221.68,0.74203,0.65246,1.0527,0.86277,0.71021,0.81371,0.59443,1.13738,1.15534,1.3308,0.000569375,0.000569375,0.000569375
57,3278.06,0.72508,0.62803,1.03077,0.71489,0.66664,0.76032,0.55743,1.0453,1.29018,1.25638,0.000557,0.000557,0.000557
58,3334.47,0.74054,0.62227,1.05418,0.80194,0.73334,0.79834,0.60375,1.01643,1.13273,1.20461,0.000544625,0.000544625,0.000544625
59,3390.59,0.70955,0.64314,1.04183,0.85624,0.73661,0.82475,0.60259,1.08659,1.25479,1.24288,0.00053225,0.00053225,0.00053225
60,3447.89,0.71898,0.62604,1.04317,0.87032,0.77689,0.86387,0.62642,1.09165,1.00375,1.26671,0.000519875,0.000519875,0.000519875
61,3504.76,0.70985,0.60052,1.02982,0.90792,0.69659,0.81927,0.58357,1.09934,1.15044,1.30986,0.0005075,0.0005075,0.0005075
62,3562.21,0.74248,0.60405,1.05226,0.8929,0.76078,0.85586,0.60937,1.0869,1.17649,1.28901,0.000495125,0.000495125,0.000495125
